storenum;OPENDATE;date_super;conversion;st;county;STREETADDR;STRCITY;STRSTATE;ZIPCODE;type_store
544;07.01.1983;;;40;109;7500 EAST RENO;Midwest City;OK;73110;Wal-Mart
545;11/15/1983 ;;;21;51;240 MANCHESTER SQUARE;Manchester;KY;40962;Wal-Mart
546;10.04.1983;03.01.1993;1;48;157;5330 FM1640;Richmond;TX;77469;Supercenter
547;10.04.1983;03.01.1997;1;12;57;2602 JIM REDMAN PARKWAY;Plant City;FL;33566;Supercenter
548;10/18/1983 ;03.01.2004;1;13;135;630 COLLINS HILL RD;Lawrenceville;GA;30045;Supercenter
549;10/16/1983 ;2/20/2002 ;1;35;25;3800 LOVINGTON HWY;Hobbs;NM;88240;Supercenter
550;02.01.1984;;;17;101;2610 WEST HAVEN ROAD;Lawrenceville;IL;62439;Wal-Mart
551;10/23/1984 ;10/16/2002 ;1;12;107;1024 SO. STATE ROAD #19;Palatka;FL;32177;Supercenter
552;10/16/1984 ;;;21;133;350 WHITESBURG PLAZA;Whitesburg;KY;41858;Wal-Mart
553;5/17/1983 ;1/28/2004 ;1;22;103;39142 NATCHEZ DRIVE;Slidell;LA;70461;Supercenter
554;06.07.1983;;;48;479;5610 SAN BERNARDO AVE;Laredo;TX;78041;Wal-Mart
555;07.01.1983;;;13;175;2101 VETERANS BLVD;Dublin;GA;31021;Wal-Mart
556;07.01.1983;03.01.1996;1;13;299;2425 MEMORIAL DRIVE;Waycross;GA;31501;Supercenter
557;06.07.1983;03.01.2000;1;20;111;2301 INDUSTRIAL ROAD;Emporia;KS;66801;Supercenter
558;06.07.1983;03.01.1999;1;20;169;2900 SOUTH 9TH ST;Salina;KS;67401;Supercenter
559;07.01.1983;03.01.1997;1;19;139;3003 NORTH HWY 61;Muscatine;IA;52761;Supercenter
560;07.01.1983;03.01.1995;1;29;21;4201 N BELT HIGHWAY;St. Joseph;MO;64506;Supercenter
561;10.04.1983;10/26/2005 ;1;48;133;1410 E. MAIN ST.;Eastland;TX;76448;Supercenter
562;11.01.1983;03.01.2000;1;1;115;8551 WHITFIELD AVE;Leeds;AL;35094;Supercenter
563;10/18/1983 ;3/14/2001 ;1;12;127;2400 VETERANS MEMORIAL PRKWY;Orange City;FL;32763;Supercenter
564;11.01.1983;03.01.1998;1;40;109;6100 WEST RENO AVE;Oklahoma City;OK;73127;Supercenter
565;10/18/1983 ;8/20/2003 ;1;48;349;3801 WEST HWY 31;Corsicana;TX;75110;Supercenter
566;03.06.1984;1/28/2004 ;1;18;173;1115 AMERICAN WAY;Boonville;IN;47601;Supercenter
567;04.03.1984;;;48;51;475 STATE HIGHWAY 36 N;Caldwell;TX;77836;Wal-Mart
568;05.01.1984;;;47;159;59 DIXON SPRINGS HIGHWAY;Carthage;TN;37030;Wal-Mart
569;11/29/1984 ;;;21;1;809 JAMESTOWN STREET;Columbia;KY;42728;Wal-Mart
571;04.03.1984;2/20/2002 ;1;21;209;112 OSBORNE WAY;Georgetown;KY;40324;Supercenter
572;06.05.1984;3/19/2003 ;1;48;183;1201 STONE STREET;Kilgore;TX;75662;Supercenter
573;04.03.1984;6/27/2001 ;1;29;95;1000 NE SAM WALTON LANE;Lee's Summit;MO;64086;Supercenter
574;6/29/1984 ;03.01.1996;1;45;51;2751 BEAVER RUN BLVD;Surfside Beach;SC;29575;Supercenter
575;5/22/1984 ;5/19/2004 ;1;13;57;12182 HWY 92;Woodstock;GA;30188;Supercenter
576;10.04.1983;03.01.1994;1;40;143;207 S MEMORIAL DRIVE;Tulsa;OK;74112;Supercenter
577;08.02.1984;07.11.2001;1;20;91;13600 S. ALDEN ST.;Olathe;KS;66062;Supercenter
578;10/18/1983 ;03.01.1995;1;47;155;1414 PARKWAY;Sevierville;TN;37862;Supercenter
579;11/29/1983 ;03.01.1997;1;12;109;2355 US HWY #1SOUTH;St. Augustine;FL;32086;Supercenter
580;11/29/1983 ;03.01.1997;1;12;105;1050 VAN FLEET DRIVE;Bartow;FL;33830;Supercenter
581;10.04.1983;09.04.2002;1;19;127;2802 S CENTER STREET;Marshalltown;IA;50158;Supercenter
582;11/29/1983 ;03.01.1998;1;12;127;1590 DUNLAWTON AVE;Port Orange;FL;32127;Supercenter
583;5/22/1984 ;03.01.1999;1;47;151;19740 ALBERTA STREET;Oneida;TN;37841;Supercenter
584;10/16/1984 ;03.01.1999;1;21;81;20 FERGUSON BLVD.;Dry Ridge;KY;41035;Supercenter
585;02.01.1984;03.01.2002;1;45;91;2377 DAVE LYLE BLVD.;Rock Hill;SC;29730;Supercenter
